system,Recall@1_mean,Recall@1_std,Recall@3_mean,Recall@3_std,Recall@5_mean,Recall@5_std,MRR@10_mean,MRR@10_std,nDCG@10_mean,nDCG@10_std
bm25,0.3458333333333333,0.4766332121956272,0.5041666666666667,0.5010275355236068,0.5416666666666666,0.49930216295372193,0.42870205026455027,0.4455146135012548,0.5141437480979387,0.47883115915027813
dense,0.3375,0.47384521597556395,0.45,0.49853341397899936,0.4708333333333333,0.5001917345070559,0.3963128306878307,0.4520428818717348,0.46182119196689936,0.47437484346854614
hybrid,0.3458333333333333,0.4766332121956273,0.4791666666666667,0.5006098094434608,0.5416666666666666,0.4993021629537217,0.4311210317460317,0.439952021391157,0.5199805456396669,0.45701011544324843
