system,language,Recall@1_mean,Recall@1_std,Recall@3_mean,Recall@3_std,Recall@5_mean,Recall@5_std,MRR@10_mean,MRR@10_std,nDCG@10_mean,nDCG@10_std
bm25,en,0.5916666666666667,0.4935863156332357,0.825,0.38156026430187623,0.8833333333333333,0.3223686843157241,0.716084656084656,0.36584966859979623,0.8461453932990511,0.31915611476637074
bm25,uz,0.1,0.30125786715206027,0.18333333333333332,0.38856195407793437,0.2,0.401677156202747,0.14131944444444444,0.31340535674949455,0.18214210289682636,0.36921801363090634
dense,en,0.6333333333333333,0.48391494032297344,0.8,0.40167715620274697,0.825,0.38156026430187623,0.7222552910052911,0.3849929924033743,0.8211207422792461,0.3332379824906613
dense,uz,0.041666666666666664,0.2006641633241398,0.1,0.3012578671520603,0.11666666666666667,0.322368684315724,0.07037037037037037,0.21890774389888776,0.10252164165455256,0.2838035148011044
hybrid,en,0.6166666666666667,0.4882369815366879,0.8333333333333334,0.3742405942825598,0.8833333333333333,0.322368684315724,0.7386541005291005,0.35177675259044233,0.8635406574397951,0.2810938578394138
hybrid,uz,0.075,0.26449571488641793,0.125,0.3321055820775357,0.2,0.40167715620274697,0.12358796296296297,0.2724931472180607,0.17642043383953881,0.3200109179972092
