system,course_id,Recall@1_mean,Recall@1_std,Recall@3_mean,Recall@3_std,Recall@5_mean,Recall@5_std,MRR@10_mean,MRR@10_std,nDCG@10_mean,nDCG@10_std
bm25,openstax_data_science,0.35,0.47896948201934775,0.49166666666666664,0.5020267047926137,0.5416666666666666,0.5003500175437415,0.42910714285714285,0.44969914023343505,0.5128418843503548,0.4878070609233258
bm25,openstax_philosophy,0.3416666666666667,0.47625699815469014,0.5166666666666667,0.5018174252567528,0.5416666666666666,0.5003500175437415,0.42829695767195763,0.44317583490911916,0.5154456118455227,0.4717267511033017
dense,openstax_data_science,0.3416666666666667,0.4762569981546902,0.4666666666666667,0.5009794328681196,0.49166666666666664,0.5020267047926136,0.407255291005291,0.45264613919099117,0.47687245043462567,0.4809677473929029
dense,openstax_philosophy,0.3333333333333333,0.47338106833115084,0.43333333333333335,0.49761335152811925,0.45,0.49957965524305853,0.3853703703703704,0.4530702877230604,0.446769933499173,0.46921971716592226
hybrid,openstax_data_science,0.3333333333333333,0.4733810683311509,0.475,0.5014684319429231,0.5333333333333333,0.5009794328681196,0.42443121693121694,0.4366137833923888,0.5206094981162622,0.4582168718793948
hybrid,openstax_philosophy,0.35833333333333334,0.4815212820821518,0.48333333333333334,0.5018174252567527,0.55,0.49957965524305853,0.4378108465608465,0.4449946549945659,0.5193515931630717,0.4577205512720779
